Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,0,,603,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,0,,576,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",,,,,,,0,,10,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,0,,32819025,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,0,,1436166,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,1280638,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",,,,,,,0,,2354854,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",,,,,,,0,,3849,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",,,,,,,0,,754121,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,0,,26921782,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,0,,1973856,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,1882551,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",,,,,,,,,12469,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,0,,29449261,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,0,,1550738,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,648608,,,0
HS,2020,202008,August 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",,,,,,,0,,1775555,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,0,,26719269,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,1290004,,,0
HS,2020,202001,January 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",,,,,,,,,3280,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",,,,,,,0,,3040959,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,0,,16977009,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,0,,96696,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",,,,,,,,,4337,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,0,,2603350,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,3217794,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,3808997,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,8090655,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,43,Furskins and artificial fur; manufactures thereof,,,,,,,0,,3818,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,45,Cork and articles of cork,,,,,,,0,,2591,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,50,Silk,,,,,,,0,,54,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,52,Cotton,,,,,,,0,,6799,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,8291166,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",,,,,,,0,,19100,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,78,Lead and articles thereof,,,,,,,0,,132,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,0,,352718,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,43,Furskins and artificial fur; manufactures thereof,,,,,,,0,,1272,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,45,Cork and articles of cork,,,,,,,0,,1039,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,0,,673041,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,52,Cotton,,,,,,,0,,8160,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,97,Works of art; collectors' pieces and antiques,,,,,,,0,,146360,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,97,Works of art; collectors' pieces and antiques,,,,,,,0,,263602,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",,,,,,,0,,6784,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,78,Lead and articles thereof,,,,,,,0,,332,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,0,,457787,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,50,Silk,,,,,,,0,,111,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,52,Cotton,,,,,,,0,,5979,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",,,,,,,0,,16639,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,78,Lead and articles thereof,,,,,,,0,,50637,,,0
HS,2020,202008,August 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,97,Works of art; collectors' pieces and antiques,,,,,,,0,,462075,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,50,Silk,,,,,,,0,,28,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,52,Cotton,,,,,,,0,,32241,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,120606,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,0,,88994,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,1084844,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,416081,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,0,,170611,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,497851,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,1143113,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,0,,3083490,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,3653122,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,41542872,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,60394542,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,1459187,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,0,,7816235,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,166552,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,3771375,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,1048209,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,0,,4804061,,,0
HS,2020,202008,August 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,53721327,,,0
HS,2020,202007,July 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,58402114,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,417265,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1199977,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1129357,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,23667654,,,0
HS,2020,202004,April 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,0,,9329735,,,0
HS,2020,202006,June 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",,,,,,,0,,1738548,,,0
HS,2020,202002,February 2020,2,0,2,Exports,442,Luxembourg,,0,World,,,,,,,,,55,Man-made staple fibres,,,,,,,0,,186834,,,0
