Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202003,March 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",,,,,,,,,231796547,,,0
HS,2020,202003,March 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,1673327892,,,0
HS,2020,202003,March 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,,,48297835,,,0
HS,2020,202006,June 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,1495565049,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,52919878,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,101899766,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,6638318,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,61721997,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,225847248,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",,,,,,,0,,152725009,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,184588206,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,45,Cork and articles of cork,,,,,,,0,,189789,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,215903117,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,35532298,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,118972149,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,45,Cork and articles of cork,,,,,,,0,,147361,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,8613919,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,151763165,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",,,,,,,0,,149611049,,,0
HS,2020,202005,May 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,,,1107999,,,0
HS,2020,202005,May 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,973915242,,,0
HS,2020,202002,February 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,142945404,,,0
HS,2020,202002,February 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,,,43417486,,,0
HS,2020,202002,February 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,1597188983,,,0
HS,2020,202003,March 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,282931909,,,0
HS,2020,202003,March 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,6372739142,,,0
HS,2020,202006,June 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,5949182568,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,17633468,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,70,Glass and glassware,,,,,,,0,,145238527,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,7287017,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,255746196,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,0,,116458425,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,64000,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,70,Glass and glassware,,,,,,,0,,159880401,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,14393666,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,0,,99011250,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,309057081,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,16584,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,6836394,,,0
HS,2020,202005,May 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,136791818,,,0
HS,2020,202005,May 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,76839405,,,0
HS,2020,202005,May 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,3087373331,,,0
HS,2020,202002,February 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,12767473,,,0
HS,2020,202002,February 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,6100869073,,,0
HS,2020,202001,January 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,5580199240,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,,,6405987480,,,0
HS,2020,202004,April 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,134646087,,,0
HS,2020,202003,March 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,824151733,,,0
HS,2020,202006,June 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,727194632,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,0,,44821302,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,43,Furskins and artificial fur; manufactures thereof,,,,,,,0,,10228,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,19000481,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,61979527,,,0
HS,2020,202007,July 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,199355193,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,18536927,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,0,,80161358,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,81654088,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,184781279,,,0
HS,2020,202009,September 2020,2,0,2,Exports,484,Mexico,,0,World,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,0,,45052813,,,0
