Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,5410457,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,9638875,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,5439539,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,81,"Metals; n.e.s., cermets and articles thereof",,,,,,,0,,394192,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,26,"Ores, slag and ash",,,,,,,0,,520670,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,3228796,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,93,Arms and ammunition; parts and accessories thereof,,,,,,,0,,780766,,,0
HS,2020,202003,March 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,82830320,,,0
HS,2020,202001,January 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,3496516,,,0
HS,2020,202001,January 2020,2,0,2,Exports,440,Lithuania,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,7608377,,,0
