Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201909,September 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,0,,640788,,,0
HS,2019,201909,September 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,60,Fabrics; knitted or crocheted,,,,,,,0,,10819144,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,5836115332,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,2273202097,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,1628653933,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,4120204801,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,0,,103275115,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,89,"Ships, boats and floating structures",,,,,,,0,,132868220,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,1579885796,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",,,,,,,0,,24578536,,,0
HS,2019,201906,June 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,91,Clocks and watches and parts thereof,,,,,,,,,81881034,,,0
HS,2019,201909,September 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,6123633574,,,0
HS,2019,201909,September 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,2363126091,,,0
HS,2019,201909,September 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,1645041114,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,944186048,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,97,Works of art; collectors' pieces and antiques,,,,,,,0,,1098037323,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",,,,,,,0,,318437701,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,95,"Toys, games and sports requisites; parts and accessories thereof",,,,,,,0,,167248082,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,92,Musical instruments; parts and accessories of such articles,,,,,,,0,,13053682,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,93,Arms and ammunition; parts and accessories thereof,,,,,,,0,,66495973,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,96,Miscellaneous manufactured articles,,,,,,,,,52280412,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,91,Clocks and watches and parts thereof,,,,,,,,,85551431,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,,,,,,,0,,4879836,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,774973918,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,44424534,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,0,,14100625,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,192716086,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,29076971,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,53664296,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,98985073,,,0
HS,2019,201904,April 2019,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,37,Photographic or cinematographic goods,,,,,,,0,,20191295,,,0
