Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,January 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,464209149,,,0
HS,2019,201901,January 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,80,Tin; articles thereof,,,,,,,0,,172659,,,0
HS,2019,201901,January 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,92,Musical instruments; parts and accessories of such articles,,,,,,,0,,408352,,,0
HS,2019,201904,April 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,92,Musical instruments; parts and accessories of such articles,,,,,,,0,,509132,,,0
HS,2019,201907,July 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,17901514,,,0
HS,2019,201907,July 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,6122824,,,0
HS,2019,201907,July 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,12863858,,,0
HS,2019,201905,May 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,543813804,,,0
HS,2019,201912,December 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,80,Tin; articles thereof,,,,,,,0,,202381,,,0
HS,2019,201912,December 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,16307051,,,0
HS,2019,201907,July 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,0,,13904479,,,0
HS,2019,201912,December 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,6605888,,,0
HS,2019,201907,July 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,92,Musical instruments; parts and accessories of such articles,,,,,,,0,,529029,,,0
HS,2019,201907,July 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,179053,,,0
HS,2019,201912,December 2019,2,0,2,Exports,705,Slovenia,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,13632230,,,0
