Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201908,August 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,1542,,,0
HS,2019,201905,May 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,1767,,,0
HS,2019,201908,August 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,26072,,,0
HS,2019,201905,May 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,6547,,,0
HS,2019,201901,January 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,164,,,0
HS,2019,201901,January 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,38594,,,0
HS,2019,201910,October 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,1811,,,0
HS,2019,201912,December 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,187752,,,0
HS,2019,201910,October 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,819,,,0
HS,2019,201910,October 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,27531,,,0
HS,2019,201911,November 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,249,,,0
HS,2019,201903,March 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,166,,,0
HS,2019,201903,March 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,10027,,,0
HS,2019,201903,March 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,11658,,,0
HS,2019,201911,November 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,906,,,0
HS,2019,201902,February 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,2695,,,0
HS,2019,201902,February 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,24367,,,0
HS,2019,201905,May 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,24,,,0
HS,2019,201905,May 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,0,,53,,,0
HS,2019,201908,August 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,91,Clocks and watches and parts thereof,,,,,,,0,,12795,,,0
HS,2019,201905,May 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,91,Clocks and watches and parts thereof,,,,,,,0,,2257,,,0
HS,2019,201903,March 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,441620,,,0
HS,2019,201904,April 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,250990,,,0
HS,2019,201909,September 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,709326,,,0
HS,2019,201901,January 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,165625,,,0
HS,2019,201901,January 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,91,Clocks and watches and parts thereof,,,,,,,0,,127155,,,0
HS,2019,201905,May 2019,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,35229,,,0
